PM2.5,NO2,CO,Humidity,Label
61.23,120.51,2.28,63.1,Red
52.08,149.97,5.23,65.76,Red
135.75,92.61,4.97,65.5,Red
28.76,147.8,2.3,40.95,Red
17.56,95.93,1.38,32.92,Red
69.56,129.02,0.51,33.12,Red
102.61,120.62,4.34,93.62,Red
63.53,58.91,3.99,59.51,Red
101.9,121.22,4.94,62.82,Red
27.08,56.4,2.76,62.69,Red
106.18,56.36,1.91,91.22,Red
123.24,140.5,4.88,72.22,Red
45.99,15.08,1.93,25.14,Amber
78.56,77.53,2.05,57.23,Red
102.42,93.24,4.27,29.94,Red
113.73,95.22,4.1,71.52,Red
176.71,21.35,4.55,46.35,Red
53.17,113.49,3.52,86.49,Red
134.53,76.7,3.8,44.33,Red
100.76,135.89,1.08,54.08,Red
97.65,94.87,2.86,60.88,Red
149.51,74.19,5.07,35.26,Red
58.94,17.82,2.05,27.83,Amber
131.77,30.61,0.36,35.11,Red
11.46,140.86,2.12,50.76,Red
26.86,112.11,4.37,66.05,Red
48.13,11.98,5.11,74.06,Red
25.46,131.82,4.66,50.68,Red
89.59,46.53,5.37,38.25,Red
82.68,126.96,1.44,79.31,Red
13.4,149.35,2.46,88.9,Red
128.74,98.78,1.1,27.32,Red
104.38,42.8,5.3,85.94,Red
95.79,100.96,2.12,52.79,Red
16.89,107.83,4.86,69.49,Red
34.22,42.45,4.29,48.71,Red
159.73,85.43,5.16,32.59,Red
162.98,70.63,0.82,50.85,Red
48.03,49.48,2.3,54.06,Amber
47.41,29.4,3.27,76.39,Red
57.75,93.44,0.75,90.66,Red
25.84,125.94,2.41,77.53,Red
115.0,12.06,0.62,53.7,Red
139.92,63.72,3.18,70.15,Red
176.62,23.75,4.94,40.18,Red
177.55,141.53,1.89,45.67,Red
104.52,110.07,0.64,62.72,Red
160.75,39.23,5.09,74.68,Red
38.39,124.82,4.92,43.87,Red
123.96,140.2,0.53,25.18,Red
168.37,59.26,2.83,72.06,Red
175.17,57.68,0.8,31.39,Red
167.39,86.79,4.74,36.89,Red
9.01,31.73,2.88,85.15,Red
49.93,26.65,4.45,88.08,Red
105.42,74.43,4.4,81.15,Red
45.46,17.14,0.9,78.91,Amber
133.62,109.64,5.38,64.8,Red
143.44,66.05,3.84,28.97,Red
93.53,83.08,2.72,47.3,Red
125.71,26.12,3.95,73.93,Red
117.85,13.69,1.39,32.36,Red
17.47,149.13,3.6,70.32,Red
31.92,19.76,3.45,91.75,Red
138.36,35.36,5.4,61.75,Red
136.68,93.52,2.85,49.49,Red
87.89,62.0,2.61,65.12,Red
34.75,120.07,1.41,70.22,Red
88.57,103.75,0.28,48.19,Red
51.06,122.81,0.14,75.81,Red
164.87,69.02,4.73,75.8,Red
24.52,69.28,2.03,91.6,Amber
126.0,91.97,0.53,36.24,Red
89.08,131.05,0.92,49.3,Red
81.98,128.41,3.06,67.47,Red
100.08,69.13,0.48,42.2,Red
173.36,145.01,1.58,28.39,Red
86.08,87.43,0.57,38.52,Red
160.77,36.55,4.15,81.35,Red
90.31,14.58,5.28,72.04,Red
91.52,98.41,0.17,61.83,Red
89.48,134.2,2.97,26.87,Red
150.63,121.55,3.44,63.32,Red
79.87,23.89,5.04,31.02,Red
79.45,24.31,2.36,72.73,Red
81.41,105.28,4.38,60.47,Red
142.11,85.0,5.01,76.27,Red
170.58,119.88,3.07,30.1,Red
169.81,137.31,5.05,41.74,Red
65.41,24.69,4.11,45.18,Red
135.59,84.82,0.53,57.79,Red
79.11,57.0,1.03,81.08,Red
60.53,49.97,3.62,61.79,Red
123.09,16.94,0.4,80.62,Red
165.79,55.5,4.16,66.36,Red
6.1,71.57,2.15,84.67,Amber
148.22,106.65,0.31,87.74,Red
158.5,87.75,2.13,82.97,Red
82.56,72.74,3.78,81.28,Red
28.9,100.23,4.3,69.33,Red
7.58,73.42,3.96,40.55,Red
149.58,98.24,4.26,88.55,Red
134.22,49.1,0.72,26.86,Red
152.21,53.45,0.49,88.05,Red
130.37,10.2,1.66,35.59,Red
46.65,125.53,4.46,55.34,Red
174.29,46.84,2.68,46.46,Red
149.9,89.52,0.93,50.37,Red
139.48,129.52,2.96,85.04,Red
117.08,136.86,2.31,50.14,Red
155.44,88.72,3.26,73.9,Red
176.59,40.02,0.79,68.54,Red
103.16,40.93,1.86,86.51,Red
159.61,81.15,1.35,37.89,Red
122.11,11.08,0.52,55.14,Red
159.44,106.39,3.06,29.27,Red
71.88,89.09,4.36,37.03,Red
12.06,113.27,4.8,64.98,Red
116.59,81.24,5.07,64.3,Red
93.93,100.85,2.59,31.66,Red
61.98,62.59,0.34,28.36,Amber
44.17,118.96,1.07,71.9,Red
29.92,137.61,4.67,78.02,Red
46.59,51.11,3.39,61.59,Red
18.95,141.07,1.43,56.05,Red
67.05,116.63,1.52,53.09,Red
162.88,96.21,1.39,77.02,Red
135.49,22.67,1.98,75.48,Red
9.27,26.69,3.0,38.58,Red
166.35,118.27,1.16,79.79,Red
63.75,64.16,0.24,83.69,Amber
93.19,56.28,0.32,58.57,Red
36.46,12.94,0.16,38.85,Amber
162.42,24.14,4.89,88.92,Red
109.57,32.39,1.07,72.02,Red
156.25,22.74,4.94,43.76,Red
58.74,145.94,4.25,84.48,Red
97.93,76.94,1.78,31.28,Red
40.31,66.37,1.06,36.12,Amber
113.54,16.68,2.52,81.26,Red
115.89,71.01,2.33,79.42,Red
66.0,51.43,4.86,85.46,Red
85.96,144.71,3.94,64.3,Red
87.83,144.66,2.73,26.69,Red
176.66,27.77,2.62,66.33,Red
153.25,64.01,1.09,64.5,Red
157.8,22.95,0.94,78.91,Red
129.97,32.01,3.38,75.4,Red
130.12,16.18,1.77,48.23,Red
162.47,39.91,4.96,72.98,Red
69.35,73.12,0.34,46.74,Amber
98.17,72.15,4.12,61.02,Red
113.29,143.9,1.29,26.11,Red
87.96,87.84,0.18,72.9,Red
44.56,111.88,5.13,44.7,Red
161.66,94.08,2.48,92.7,Red
167.98,116.77,4.47,66.79,Red
42.36,78.92,2.1,70.64,Amber
43.74,130.99,5.29,43.98,Red
44.39,87.87,1.28,59.6,Red
120.92,31.01,1.77,94.58,Red
96.33,48.64,3.77,45.39,Red
28.85,35.72,4.73,48.18,Red
30.25,70.17,5.5,66.58,Red
168.21,82.92,0.5,94.86,Red
20.03,17.73,2.6,90.16,Red
82.14,35.9,3.57,69.69,Red
173.11,16.02,5.3,93.07,Red
121.53,97.02,4.48,74.72,Red
120.54,81.03,0.67,27.52,Red
5.42,117.17,2.56,60.03,Red
143.95,63.43,2.77,93.02,Red
167.15,41.52,0.37,88.36,Red
99.31,134.66,5.12,42.47,Red
19.78,82.4,5.32,53.55,Red
109.54,87.67,0.99,43.03,Red
59.71,123.57,1.95,61.97,Red
97.26,45.15,5.24,51.69,Red
55.28,146.93,1.32,25.76,Red
69.37,18.73,1.85,43.26,Amber
40.22,114.98,5.47,58.69,Red
176.73,40.63,5.05,93.56,Red
31.73,66.27,4.15,44.47,Red
161.8,79.55,4.92,35.6,Red
154.27,32.41,4.5,65.42,Red
173.82,23.38,5.29,30.19,Red
119.62,145.95,5.45,40.18,Red
32.05,61.55,1.39,33.3,Amber
160.06,109.42,1.3,72.73,Red
120.29,15.22,2.44,46.83,Red
63.69,105.37,0.19,75.67,Red
29.67,144.25,4.68,26.55,Red
37.02,28.3,3.6,56.99,Red
175.3,139.28,3.85,30.68,Red
104.2,29.45,0.77,35.56,Red
69.41,118.81,1.43,27.91,Red
140.28,12.47,4.4,76.54,Red
125.43,88.01,0.28,57.61,Red
81.42,48.18,2.31,88.28,Red
31.94,124.22,1.37,28.17,Red
141.99,85.45,5.26,85.75,Red
33.08,72.1,1.22,42.05,Amber
178.89,20.22,3.17,36.75,Red
148.47,111.71,1.97,36.94,Red
120.72,109.36,5.23,84.59,Red
118.25,87.54,0.69,38.85,Red
30.23,99.49,2.7,85.5,Red
155.54,145.11,0.55,57.84,Red
57.36,101.46,1.67,70.66,Red
125.32,31.97,5.05,93.21,Red
45.03,85.01,4.01,66.96,Red
88.9,39.78,2.32,27.41,Red
57.51,104.43,4.29,25.69,Red
137.22,25.41,0.11,83.31,Red
14.29,68.57,1.15,81.77,Amber
65.11,146.96,4.64,29.45,Red
122.6,145.22,2.39,85.2,Red
17.4,41.29,0.19,87.75,Amber
131.07,39.55,5.01,26.76,Red
26.55,21.82,2.15,90.86,Amber
141.38,78.33,0.77,52.86,Red
88.16,108.08,4.98,44.55,Red
146.03,122.54,3.49,93.31,Red
108.5,55.93,4.16,94.87,Red
40.56,133.07,1.74,73.34,Red
110.16,74.6,3.17,56.22,Red
64.46,116.25,2.98,88.58,Red
127.38,136.31,0.62,45.84,Red
164.62,82.37,2.74,36.19,Red
100.21,125.59,5.35,63.22,Red
78.69,128.49,5.12,79.7,Red
71.22,148.85,0.72,90.27,Red
176.15,67.64,1.05,77.2,Red
92.1,125.62,1.02,81.22,Red
103.12,117.27,0.48,62.03,Red
52.66,145.43,4.86,63.41,Red
123.81,90.43,4.77,78.18,Red
36.3,17.77,4.85,55.63,Red
54.68,94.0,0.17,43.97,Red
146.07,107.8,3.57,34.79,Red
57.05,89.18,0.57,83.0,Red
124.83,147.78,5.27,82.45,Red
14.29,36.57,0.22,27.5,Green
10.08,11.35,2.57,43.02,Red
126.1,128.75,5.14,38.46,Red
155.97,26.11,3.02,72.8,Red
16.77,88.21,1.83,26.64,Red
17.27,21.52,1.1,56.06,Amber
22.29,45.6,0.61,85.12,Amber
38.89,57.85,1.86,69.82,Amber
147.04,33.59,5.39,78.41,Red
95.79,111.88,1.27,63.27,Red
119.02,138.43,5.29,73.87,Red
106.17,77.58,5.36,37.17,Red
147.28,32.03,2.11,93.76,Red
168.91,108.12,4.46,36.48,Red
20.57,69.92,0.97,47.45,Amber
123.86,15.69,0.93,80.24,Red
148.81,17.83,2.83,91.7,Red
54.87,38.77,2.09,85.21,Amber
176.45,130.2,0.21,82.6,Red
29.9,92.81,3.22,52.0,Red
99.03,101.42,2.17,60.15,Red
166.06,80.22,4.49,48.46,Red
67.87,70.67,5.5,30.7,Red
45.38,127.02,2.68,71.34,Red
159.75,33.56,0.75,27.53,Red
91.89,36.58,1.3,47.16,Red
134.26,17.41,3.41,58.74,Red
25.88,65.04,2.41,70.86,Amber
163.59,99.49,4.08,61.81,Red
96.93,108.71,1.77,25.33,Red
178.25,107.99,0.47,80.24,Red
141.68,53.75,2.15,56.19,Red
77.46,146.87,0.79,71.42,Red
143.02,104.41,3.84,45.31,Red
171.31,143.07,3.94,45.89,Red
127.79,12.14,1.13,93.7,Red
63.64,67.33,3.57,66.2,Red
9.09,37.54,4.94,91.14,Red
72.17,60.8,5.29,40.26,Red
96.96,41.55,2.12,86.41,Red
74.49,116.62,0.45,72.3,Red
62.97,136.59,3.18,69.69,Red
57.42,115.98,3.16,70.6,Red
37.73,91.47,3.76,74.48,Red
127.12,96.62,5.5,86.62,Red
69.52,146.86,2.37,65.83,Red
121.82,42.86,1.88,78.62,Red
163.23,95.85,3.96,91.54,Red
54.18,39.84,3.2,48.09,Red
166.41,126.37,4.51,28.97,Red
57.13,21.68,3.91,82.34,Red
57.97,73.24,1.21,58.14,Amber
145.86,13.45,2.82,57.05,Red
10.14,33.45,5.48,82.31,Red
115.32,95.42,3.71,67.28,Red
89.22,95.78,4.19,37.5,Red
165.46,148.56,4.79,30.15,Red
5.1,68.32,4.7,26.47,Red
178.21,20.23,5.14,47.5,Red
23.51,129.13,4.38,90.97,Red
33.0,35.95,4.31,80.98,Red
52.28,144.87,3.39,33.43,Red
162.29,103.79,3.08,32.35,Red
36.94,112.35,4.07,34.36,Red
88.28,65.56,4.16,49.61,Red
69.48,148.45,3.45,69.54,Red
114.12,46.46,4.96,62.74,Red
171.48,70.87,1.98,78.58,Red
59.73,105.35,2.75,25.95,Red
160.74,68.29,0.18,32.99,Red
152.32,140.24,1.8,72.49,Red
39.49,145.83,4.51,41.9,Red
45.27,49.52,0.38,66.04,Amber
122.32,32.66,2.48,80.48,Red
11.48,63.23,2.74,78.26,Red
125.74,59.17,2.77,27.61,Red
148.01,111.17,4.14,78.15,Red
48.79,135.9,4.22,64.01,Red
156.93,94.01,5.16,70.32,Red
94.72,108.07,1.54,85.95,Red
42.78,48.02,0.29,61.03,Amber
39.02,22.88,2.43,54.1,Amber
146.93,115.31,5.28,63.28,Red
65.13,138.28,2.61,93.55,Red
94.67,111.1,4.93,51.61,Red
151.77,79.3,0.17,69.86,Red
95.45,130.2,4.78,53.28,Red
96.65,60.51,3.53,40.83,Red
88.63,137.76,0.92,26.44,Red
175.91,92.47,1.35,81.58,Red
156.43,70.16,4.35,62.73,Red
33.54,29.5,2.23,56.9,Amber
166.61,98.41,0.91,88.18,Red
99.83,36.61,2.54,35.74,Red
53.46,123.63,4.72,79.58,Red
178.01,78.24,3.56,81.9,Red
109.28,78.03,0.67,92.82,Red
171.23,53.19,0.49,44.82,Red
173.2,90.9,2.46,87.45,Red
105.07,42.26,1.02,81.43,Red
98.45,140.75,4.66,26.59,Red
89.86,132.0,2.76,56.96,Red
158.11,69.76,0.33,81.95,Red
108.18,15.31,2.6,79.91,Red
18.65,88.72,4.45,50.8,Red
131.52,23.4,4.47,42.94,Red
167.62,62.17,3.83,61.68,Red
60.3,36.21,3.67,37.51,Red
66.54,17.47,0.38,69.05,Amber
76.0,41.37,2.5,89.82,Red
86.26,52.77,1.87,94.36,Red
104.22,140.0,2.0,84.69,Red
113.35,95.7,4.85,83.55,Red
85.59,70.81,1.31,65.75,Red
17.03,55.01,2.93,88.99,Red
18.36,24.84,4.98,46.0,Red
50.06,20.37,2.63,46.53,Red
12.98,28.88,4.56,36.81,Red
163.92,26.88,3.42,64.13,Red
36.99,59.64,3.41,73.25,Red
98.45,135.75,4.95,28.14,Red
62.85,28.21,5.18,92.62,Red
37.45,108.23,4.84,94.49,Red
129.8,50.01,4.16,61.02,Red
151.07,89.43,4.25,44.72,Red
51.54,79.84,1.94,58.26,Amber
107.76,48.06,1.97,78.02,Red
22.03,79.17,4.11,75.77,Red
156.4,69.91,0.7,62.91,Red
104.91,127.2,3.7,81.03,Red
116.86,48.01,3.37,92.97,Red
130.56,17.07,3.94,29.42,Red
87.77,31.71,4.59,89.84,Red
152.98,35.9,1.69,26.52,Red
153.06,113.21,0.91,43.38,Red
19.52,146.21,5.0,73.43,Red
174.1,87.14,2.99,42.57,Red
125.04,142.11,4.17,42.83,Red
84.18,20.2,3.77,67.39,Red
169.32,141.65,4.59,28.66,Red
161.38,29.21,1.82,59.61,Red
170.39,86.23,4.22,59.11,Red
160.35,98.66,2.61,51.76,Red
97.86,115.19,3.8,60.29,Red
149.42,29.05,0.98,37.49,Red
39.58,29.49,0.76,55.77,Amber
11.1,44.42,2.22,93.04,Amber
26.92,128.73,0.52,50.19,Red
165.63,35.88,0.82,84.21,Red
7.97,77.5,5.38,29.48,Red
54.72,71.25,3.52,55.92,Red
35.46,12.83,3.29,63.07,Red
86.49,15.07,0.99,34.36,Red
86.71,12.62,0.34,52.26,Red
91.63,77.14,4.87,31.29,Red
15.03,111.0,5.37,80.54,Red
90.47,87.03,0.31,90.73,Red
71.43,17.8,4.19,74.65,Red
32.99,97.36,4.44,73.48,Red
173.74,56.82,3.08,70.12,Red
8.62,11.98,4.82,31.91,Red
75.5,46.35,4.44,72.33,Red
167.38,50.4,1.97,94.38,Red
117.86,79.63,5.3,29.36,Red
138.39,66.16,4.31,92.46,Red
46.76,129.55,3.63,28.34,Red
157.04,134.42,0.69,36.66,Red
38.13,108.68,4.22,61.07,Red
58.33,15.38,4.62,30.73,Red
168.12,21.27,1.78,69.99,Red
149.74,94.26,3.24,52.87,Red
142.13,36.62,4.12,52.94,Red
151.46,42.48,4.23,39.53,Red
147.21,60.05,2.25,42.45,Red
61.91,11.82,4.72,28.19,Red
126.25,111.49,5.31,81.04,Red
95.27,74.76,4.56,48.02,Red
81.26,90.5,4.58,79.46,Red
11.96,103.05,0.92,67.32,Red
93.14,15.72,5.25,50.12,Red
32.65,146.07,1.45,49.01,Red
168.62,60.3,1.7,39.57,Red
28.62,95.11,2.25,65.53,Red
52.43,111.13,1.79,46.59,Red
86.33,139.94,3.11,25.68,Red
62.03,104.17,3.66,79.44,Red
179.13,101.52,4.16,43.46,Red
115.89,93.72,1.83,58.72,Red
179.4,85.1,0.15,48.93,Red
61.66,123.96,5.36,89.31,Red
15.34,60.29,1.04,57.05,Amber
19.12,86.05,2.5,48.09,Red
88.52,93.29,4.3,36.93,Red
26.41,100.23,0.91,42.59,Red
105.29,41.16,5.09,71.45,Red
36.66,57.86,1.41,52.08,Amber
84.2,42.78,2.24,66.37,Red
20.33,94.94,0.36,45.65,Red
84.43,118.38,2.78,29.25,Red
149.57,122.03,2.31,48.5,Red
67.13,108.85,1.22,48.46,Red
102.12,138.83,4.34,90.77,Red
62.67,105.93,2.78,84.97,Red
88.38,55.52,3.06,72.18,Red
102.17,67.96,0.66,33.31,Red
51.24,45.49,4.87,72.25,Red
156.54,101.9,0.35,51.67,Red
50.77,56.59,3.19,47.13,Red
27.84,143.27,3.29,92.3,Red
15.92,90.9,3.71,36.7,Red
158.14,31.39,5.23,85.29,Red
20.98,71.15,0.16,44.01,Amber
25.23,133.62,1.01,65.67,Red
49.31,144.96,5.49,54.78,Red
24.58,52.86,1.61,68.46,Amber
55.38,62.05,4.18,62.76,Red
112.31,23.81,4.34,57.62,Red
70.73,45.66,4.36,87.75,Red
128.17,88.88,4.89,52.17,Red
175.88,124.37,3.78,73.92,Red
134.9,60.95,5.39,38.85,Red
12.36,66.55,2.51,71.21,Red
21.88,134.16,2.32,84.74,Red
127.77,12.6,2.11,92.46,Red
70.25,86.38,0.38,48.18,Red
161.09,34.06,0.58,37.93,Red
31.76,102.41,3.11,26.14,Red
40.01,124.65,4.52,50.92,Red
153.41,20.58,1.83,65.75,Red
174.31,148.3,5.02,81.76,Red
16.48,19.13,5.02,70.17,Red
118.35,95.09,3.82,38.05,Red
118.21,20.05,2.26,41.2,Red
164.05,99.94,4.9,79.04,Red
148.29,132.05,4.5,30.43,Red
107.89,27.64,3.94,27.35,Red
159.6,49.82,0.59,78.76,Red
98.88,44.99,4.75,59.51,Red
113.84,121.66,0.93,44.84,Red
86.61,19.75,4.93,82.35,Red
17.16,34.73,3.32,90.33,Red
8.24,38.2,0.74,57.14,Green
126.2,50.88,1.74,44.32,Red
76.53,95.83,4.35,81.19,Red
119.49,54.3,1.92,39.93,Red
139.09,28.15,2.1,67.0,Red
160.99,90.92,5.31,64.59,Red
121.13,89.17,1.94,33.81,Red
103.06,130.53,4.67,53.76,Red
94.42,40.36,0.65,81.96,Red
86.94,34.37,5.37,31.4,Red
163.94,16.58,1.15,49.24,Red
179.76,104.67,4.06,66.72,Red
127.66,133.26,2.06,38.91,Red
20.65,33.73,1.61,31.49,Amber
114.89,57.18,0.95,87.06,Red
101.26,127.61,0.34,51.78,Red
5.4,68.08,3.71,75.16,Red
26.56,79.47,4.88,72.48,Red
87.93,57.36,1.16,60.79,Red
6.95,52.8,4.16,64.46,Red
71.33,32.57,2.81,52.64,Red
147.39,96.13,0.3,56.87,Red
179.11,86.63,3.85,52.23,Red
99.51,146.1,4.14,29.91,Red
175.99,16.96,4.32,83.88,Red
81.59,91.54,0.52,74.68,Red
66.0,78.56,3.03,29.51,Red
86.97,24.78,4.9,61.19,Red
84.34,140.98,3.0,36.55,Red
63.22,15.46,1.08,28.39,Amber
135.96,95.74,0.93,33.3,Red
36.8,124.71,0.68,84.57,Red
73.65,94.0,4.47,42.0,Red
62.47,111.05,3.65,74.86,Red
142.09,53.92,5.03,55.51,Red
20.25,32.67,0.9,75.49,Green
17.5,18.42,4.55,39.44,Red
168.72,18.41,4.16,42.56,Red
142.7,72.3,3.96,90.78,Red
83.26,44.75,3.68,42.45,Red
83.02,39.21,3.87,57.53,Red
155.79,16.1,0.52,87.62,Red
165.57,27.52,5.37,52.75,Red
45.34,74.92,4.49,89.55,Red
38.8,10.4,4.15,64.6,Red
91.65,95.48,1.26,40.13,Red
165.99,18.09,5.11,47.95,Red
133.52,105.58,1.4,83.68,Red
161.94,27.11,5.18,68.63,Red
12.34,135.71,0.52,56.24,Red
71.42,60.9,0.49,58.43,Amber
26.86,55.29,1.44,58.88,Amber
58.67,145.31,3.24,70.95,Red
23.69,124.61,3.92,53.75,Red
139.24,91.92,5.42,36.46,Red
128.31,65.95,0.15,76.45,Red
33.02,89.22,5.31,69.37,Red
52.62,22.75,2.8,31.83,Red
147.41,115.95,0.43,31.36,Red
45.27,82.62,1.59,89.04,Red
165.14,132.68,3.13,61.17,Red
54.11,25.87,5.15,27.96,Red
146.35,44.67,0.18,90.81,Red
136.82,30.64,3.89,42.14,Red
76.33,71.58,2.7,63.47,Red
54.5,78.17,0.26,66.69,Amber
83.58,115.11,0.89,58.15,Red
41.72,98.12,1.3,28.28,Red
109.75,120.41,5.37,92.86,Red
128.35,75.21,4.93,89.08,Red
179.31,70.64,3.39,35.14,Red
81.38,50.55,0.11,29.33,Red
159.41,30.2,5.24,63.65,Red
152.32,25.54,3.44,38.89,Red
45.61,86.96,5.13,62.17,Red
133.02,23.87,2.24,83.36,Red
134.89,129.56,2.48,81.71,Red
112.28,43.78,4.89,45.13,Red
79.8,99.44,2.18,34.51,Red
161.27,105.25,1.3,46.22,Red
165.86,40.19,0.3,43.42,Red
97.17,139.34,0.93,30.32,Red
22.6,111.44,1.94,94.9,Red
53.88,43.24,3.37,77.06,Red
94.78,32.2,3.67,87.71,Red
162.63,45.05,2.53,54.97,Red
166.88,62.89,1.45,86.66,Red
86.35,142.22,5.07,71.18,Red
35.22,93.47,5.35,78.67,Red
6.14,66.71,3.98,55.3,Red
52.62,48.01,4.97,70.46,Red
97.94,23.57,4.83,80.77,Red
82.42,48.22,3.58,90.07,Red
162.16,111.17,2.12,94.73,Red
51.3,33.76,0.46,62.51,Amber
11.28,18.06,1.95,60.8,Amber
76.0,54.41,0.32,79.33,Red
57.19,144.41,4.91,37.02,Red
175.87,76.11,4.08,78.53,Red
101.48,143.42,3.68,61.43,Red
32.5,78.61,4.16,71.13,Red
102.21,94.95,4.25,56.02,Red
83.14,65.16,1.35,35.67,Red
65.67,146.4,2.23,33.88,Red
136.31,98.15,2.42,33.07,Red
36.8,35.44,1.03,34.41,Amber
28.43,15.85,4.86,70.75,Red
169.06,112.31,3.57,37.8,Red
167.76,39.92,2.63,68.18,Red
95.04,65.4,2.21,42.52,Red
112.33,17.52,3.7,38.28,Red
59.36,35.3,0.2,92.04,Amber
32.86,69.55,0.98,49.03,Amber
130.79,21.74,5.38,50.66,Red
168.88,23.0,0.25,61.42,Red
140.19,37.26,4.89,44.84,Red
174.36,16.98,1.89,56.54,Red
133.17,142.12,0.3,52.49,Red
77.65,15.75,3.28,31.04,Red
88.54,132.41,5.12,61.25,Red
62.41,73.26,2.37,74.53,Amber
57.7,137.37,2.3,78.01,Red
148.88,88.8,5.31,75.61,Red
60.58,84.9,0.46,27.19,Red
103.41,74.23,0.24,89.81,Red
169.59,143.1,5.45,66.28,Red
80.79,117.8,1.2,26.61,Red
155.98,103.37,0.44,60.62,Red
43.43,21.54,4.92,38.82,Red
176.03,39.16,1.81,64.9,Red
18.76,62.91,5.11,34.49,Red
63.45,136.91,0.83,32.37,Red
72.45,42.85,3.41,47.98,Red
156.54,71.15,2.74,66.99,Red
80.15,114.39,0.51,48.93,Red
68.71,18.11,1.31,60.44,Amber
146.07,119.09,3.48,69.37,Red
147.89,14.25,2.22,74.47,Red
73.45,66.61,2.69,66.06,Red
117.57,108.87,3.57,59.29,Red
134.35,42.49,5.34,68.79,Red
112.77,60.51,2.41,60.48,Red
28.07,12.67,2.88,94.42,Red
120.99,36.28,0.2,41.21,Red
146.1,40.69,2.07,66.9,Red
18.49,149.09,2.06,43.79,Red
143.03,16.07,1.73,51.27,Red
35.05,99.08,5.13,30.72,Red
95.86,78.32,1.75,32.95,Red
13.85,36.58,5.34,67.89,Red
42.68,147.5,4.84,43.78,Red
83.62,53.7,2.25,88.65,Red
123.7,102.64,1.79,28.54,Red
111.68,103.14,4.86,44.14,Red
122.41,89.99,4.25,88.49,Red
76.26,122.22,2.18,77.67,Red
